"reel_index","reel_shortcode","reel_url","publish_date","publish_date_raw","caption_full","hook_text","hook_type","duration_sec","duration_sec_raw","views","viewers_estimated_beta_reach","views_followers_pct","views_nonfollowers_pct","likes","comments","saves","shares","interactions_total","interactions_followers_pct","interactions_nonfollowers_pct","accounts_engaged","follows","follows_per_1000_views","saves_per_1000_views","shares_per_1000_views","comments_per_1000_views","likes_per_1000_views","interactions_per_1000_views","accounts_engaged_per_1000_views","primary_category","series","subtype_clean","subtype_raw","presentation_format_clean","presentation_format_raw","rotem_appears_clean","rotem_appears_raw","meir_appears_clean","meir_appears_raw","both_appear_clean","both_appear_raw","cta","commercial_status","source","notes"
"51","DSKQ3G5iM-7","https://www.instagram.com/rotem_adini/reel/DSKQ3G5iM-7/","2025-12-12","2025-12-12","עוגת תפוזים מושלמת לחורף🍊☃️ [full ingredients + method: whole-orange winter cake, whipped egg whites, orange juice and zest]","הגיעה עונת התפוזים (on-screen text overlay, 'orange season has arrived')","Result-first","18.43","18.43","200358","858","13.4%","86.6%","558","13","526","246","1348","26.9%","73.1%","1191","38","0.19","2.63","1.23","0.06","2.79","6.73","5.94","Food","N/A","Dessert","Dessert (whole-orange winter cake)","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. High-reach reel (200,358 views). DATA CONFLICT: front-end action-bar comment count 37 vs Insights תגובות 13 (large gap)."
"52","DSAYG6ciEEF","https://www.instagram.com/rotem_adini/reel/DSAYG6ciEEF/","2025-12-08","2025-12-08","בואו איתנו לעשות את כל הדייטים לפי הא״ב והפעם האות ב׳ - בירה פונג 🏓🍻 איך הדייט עובד? מארגנים נשנושים שאוהבים 🍿 מסדרים כוסות 🍺 מוזגים בירה 🍻 מכינים שאלות ❓ ומתחילים לשחק ✌🏻 תייגו מישהו שאתם חייבים להתחרות נגדו בבירה פונג 👇🏻 #זוגיות #דייטים #משחקים","בירה פונג (title card overlay, 'beer pong')","Series intro","49.4","49.4","11826","990","28.4%","71.6%","175","35","67","85","364","40.9%","59.1%","300","8","0.68","5.67","7.19","2.96","14.8","30.78","25.37","Couple","A-Z Dates series (letter ב / Bet - beer pong date)","Couple game","Couple game","Montage","Montage (pouring beer, table setup)","Unclear","Unclear (this specific frame shows only beer/cups; caption confirms couple-date premise)","Unclear","Unclear (see above; meir43214 comments on the post)","Unclear","Unclear (see above)","Tag someone you'd compete against in beer pong","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. This is the letter ב (Bet) episode of the A-Z Dates series. Note: this resolves the uncertainty flagged in this dataset's letter ג (Gimel) row (reel_index 47, DSz-McCCPTE), where viewer comments suggested the letter ב had been skipped -- this reel shows it was not skipped, only chronologically earlier / less prominently discovered. Front-end action-bar comment count (35) matches Insights תגובות (35), no conflict."
"53","DRxD7mhiMIb","https://www.instagram.com/rotem_adini/reel/DRxD7mhiMIb/","2025-12-02","2025-12-02","מתלבטת עוד איך לקרוא למתכון הזה 🤔 עוגיית שוקולד צ'יפס ענקית? פאי שוקולד צ'יפס? עוגת שוקולד צ'יפס? תרשמו לי איך הייתם קוראים למתכון הזה 👇🏻 בכל מקרה עד שאחליט איך לקרוא לזה הנה המתכון לדבר המושלם הזה😍 [full ingredients + method: giant chocolate chip cookie cake with a frozen Nutella disk baked into the center]","N/A (no on-screen text overlay; talking to camera while holding the finished bake)","Question","19.9","19.9","141814","795","9.7%","90.3%","1208","13","782","585","2612","15.8%","84.2%","2264","32","0.23","5.51","4.13","0.09","8.52","18.42","15.96","Food","N/A","Dessert","Dessert (giant Nutella-stuffed chocolate chip cookie cake)","Talking to camera","Talking to camera","Yes","Yes","No","No (meir43214 only comments)","No","No","Comment how you'd name this recipe","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. DATA CONFLICT: front-end action-bar comment count 18 vs Insights תגובות 13."
"54","DRmDs-viLUZ","https://www.instagram.com/rotem_adini/reel/DRmDs-viLUZ/","2025-11-28","2025-11-28","קבלו את סדרת הדייטים החדשה שלנו- עושים את כל הדייטים לפי הא״ב 👩‍❤️‍👨 והפעם האות א׳ אוכל איטלקי 🍕🍷 תייגו מישהו שחייב לקחת אותכם לדייט כזה 👇🏻😍","דייט באות א' (title card overlay, 'date starting with the letter Aleph')","Series intro","28.4","28.4","32408","2256","28.8%","71.2%","334","28","151","205","727","38.6%","61.4%","576","41","1.27","4.66","6.33","0.86","10.31","22.43","17.77","Couple","A-Z Dates series (letter א / Aleph - this is the series-launch reel; Italian food date)","A-Z date","A-Z date","Selfie / dialogue","Selfie / dialogue","Yes","Yes","Yes","Yes","Yes","Yes","Tag someone who should take you on a date like this","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. This is the launch/first episode (letter א / Aleph) of the 'A-Z Dates' series, per the caption's 'here's our new dating series' framing. DATA CONFLICT: front-end action-bar comment count 38 vs Insights תגובות 28."
"55","DQ4Vn0hiDE2","https://www.instagram.com/rotem_adini/reel/DQ4Vn0hiDE2/","2025-11-10","2025-11-10","עוגת שמרים דאבל שוקולד פרווה 😍 שכבת ממרח קקאו & שכבת נוטלה plant-based [full ingredients + method: dairy-free chocolate babka-style yeast cake, cocoa filling and plant-based Nutella]. וזהו בתאבון תספרו לי איך יצא ❤️❤️ בשיתוף ממומן נוטלה @nutella.israel","N/A (no on-screen text overlay; top-down shot of the finished cake)","Result-first","23.33","23.33","34666","469","28.8%","71.2%","182","29","167","76","460","57.8%","42.2%","343","8","0.23","4.82","2.19","0.84","5.25","13.27","9.89","Collaboration","N/A","Other","Other (paid partnership recipe; dairy-free double chocolate yeast babka)","Static / overhead shot","Overhead/top-down shot of the finished cake","No","No (top-down food shot; no person visible in inspected frame)","No","No (meir43214 only comments)","No","No","'Tell me how it turned out'","Collaboration / Sponsored (explicit 'בשיתוף ממומן' / paid-partnership tag with @nutella.israel)","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. Full Insights access available (own-account sponsored post, same pattern as the other Collaboration reels already in this dataset). DATA CONFLICT: front-end action-bar comment count 36 vs Insights תגובות 29."
"56","DNSkW7sI6U-","https://www.instagram.com/rotem_adini/reel/DNSkW7sI6U-/","2025-08-20","2025-08-20","עוגת ביסקוויטים הכי קלאסית שיש והכי וטעימה שיש!!!!!! הכי טעים בעוגת ביסקוויטים זה שבין השכבות יש מלא מלא קרםםםםם!!! ולמעלה גנאש עם מלא שוקולד זה שילוב נדיר 😍 [full ingredients + method: classic biscuit cake with instant-pudding cream and dark/milk chocolate ganache]. ולמחרת נאכל ובתאבון ❤️❤️❤️","לא משנה (on-screen text overlay, approx. 'no matter what')","Relatable statement","14.17","14.17","196424","507","24.4%","75.6%","114","4","159","45","326","44.2%","55.8%","279","7","0.04","0.81","0.23","0.02","0.58","1.66","1.42","Food","N/A (a classic/standalone biscuit cake reel published 2025-08-20, well before the numbered 'Biscuit Cake' series launched on 2026-01-09 -- not counted as a series episode)","Biscuit cake","Biscuit cake","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. High-reach reel (196,424 views) despite low engagement counts otherwise. DATA CONFLICT: front-end action-bar comment count 38 vs Insights תגובות 4 (very large gap, the largest observed in this dataset)."
"57","DNFUYldoSju","https://www.instagram.com/rotem_adini/reel/DNFUYldoSju/","2025-08-08","2025-08-08","עוגת קרמבו שוקולד לבן על בסיס ביסקוויטים העוגה הכי טעימה שיש – עם שילוב מושלם של מרקמים וטעמים! 😍 [full ingredients + method: white chocolate krembo cake with a biscuit-white chocolate base, mascarpone cream, white chocolate ganache]. בתאבון מחכה לשמוע איך יצא 🩷🩷","N/A (no on-screen text overlay captured in inspected frame; a static product/plating shot)","Other","17.14","17.14","167222","588","15.4%","84.6%","573","27","930","436","1986","26.6%","73.4%","1617","66","0.39","5.56","2.61","0.16","3.43","11.88","9.67","Food","N/A (a standalone Krembo-themed biscuit-base cake, not part of the numbered 'Biscuit Cake' series which launched later)","Biscuit cake","Biscuit cake","Static / overhead shot","Static plating/product shot","No","No (product shot; no person visible in inspected frame)","No","No (meir43214 only comments)","No","No","'Waiting to hear how it turned out'","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. High-reach reel (167,222 views). DATA CONFLICT: front-end action-bar comment count 53 vs Insights תגובות 27."
"58","DMhT5oVolnJ","https://www.instagram.com/rotem_adini/reel/DMhT5oVolnJ/","2025-07-25","2025-07-25","בורקס אסאדו מושלם לערב שבת! עם טחינה ירוקה מעל זה בכלל יוצא מושלם… [full ingredients + method: slow-braised asado beef bureka with homemade green tahini sauce]. בתאבון מחכה לשמוע איך יצא 🩷🩷","N/A (no on-screen text overlay captured in inspected frame; a static plating shot)","Result-first","13.73","13.73","61993","337","45.5%","54.5%","117","5","118","43","287","65.2%","34.8%","250","3","0.05","1.9","0.69","0.08","1.89","4.63","4.03","Food","N/A","Savory","Savory (slow-braised asado beef bureka with green tahini)","Static / overhead shot","Static plating shot","No","No (product shot; no person visible in inspected frame)","No","No (meir43214 only comments)","No","No","'Waiting to hear how it turned out'","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. DATA CONFLICT: front-end action-bar comment count 9 vs Insights תגובות 5."
"59","DMPQ_qXo--a","https://www.instagram.com/rotem_adini/reel/DMPQ_qXo--a/","2025-07-18","2025-07-18","עוגת ביסקוויטים סניקרס! שילבתי בין שני דברים שאני כל כך אוהבת ופשוט יצא מושלם 😍 [full ingredients + method: cocoa biscuit base, peanut butter cream layer, milk chocolate cream layer, peanut caramel topping]. בתאבון 🩷🩷","N/A (no on-screen text overlay captured in inspected frame; a static plating shot)","Result-first","17.47","17.47","105789","286","31.1%","68.9%","484","8","528","222","1244","43.9%","56.1%","1010","27","0.26","4.99","2.1","0.08","4.58","11.76","9.55","Food","N/A (a standalone Snickers-themed biscuit cake, predates the numbered 'Biscuit Cake' series)","Biscuit cake","Biscuit cake","Static / overhead shot","Static plating shot","No","No (product shot; no person visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. DATA CONFLICT: front-end action-bar comment count 20 vs Insights תגובות 8."
"60","DL9XTDsoHo1","https://www.instagram.com/rotem_adini/reel/DL9XTDsoHo1/","2025-07-11","2025-07-11","גלידוניות בסגנון קראנץ' החדש 😍 אני עפתי על השילוב של השקדי מרק עם השוקולד חלב ברמות תרשמו לי אם גם אהבתם 👇🏻❤️ [full ingredients + method: bagele crumb base, mascarpone-condensed milk ice cream filling, milk chocolate-almond crunch coating]. וזהו מוכן בתאבון 🩷🩷🩷","N/A (no on-screen text overlay captured in inspected frame; hands holding the finished bars)","Result-first","15.67","15.67","61832","256","45.9%","54.1%","223","7","241","78","554","61%","39%","465","6","0.1","3.9","1.26","0.11","3.61","8.96","7.52","Food","N/A","Dessert","Dessert (frozen ice cream crunch bars)","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No (meir43214 only comments)","No","No","'Comment if you also liked this'","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. DATA CONFLICT: front-end action-bar comment count 8 vs Insights תגובות 7."
"61","DLrS-JIokcW","https://www.instagram.com/rotem_adini/reel/DLrS-JIokcW/","2025-07-04","2025-07-04","רולדת כדורי שוקולד בלונדי עוגה מושלמת לסופ״ש 😍 [full ingredients + method: blondie chocolate ball dough rolled into a roulade with vanilla pudding cream and blonde chocolate ganache]. ובתאבון 🩷🩷","N/A (no on-screen text overlay captured in inspected frame; a static plating shot)","Result-first","20.4","20.4","256455","308","11%","89%","1781","45","2667","1588","6087","12.1%","87.9%","4902","274","1.07","10.4","6.19","0.18","6.94","23.74","19.11","Food","N/A","Dessert","Dessert (blondie chocolate ball roulade cake)","Static / overhead shot","Static plating shot","No","No (product shot; no person visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. One of the highest-performing reels in this dataset: 256,455 views and 274 follows attributed (the highest follows count observed among the newly-inspected reels in this batch). DATA CONFLICT: front-end action-bar comment count 66 vs Insights תגובות 45."
"62","DLSaOlgI_Xx","https://www.instagram.com/rotem_adini/reel/DLSaOlgI_Xx/","2025-06-24","2025-06-24","מוקפץ עוף ואטריות אודון עם ירקות שיוצא פשוט מושלם 🩷 [full ingredients + method: stir-fried chicken and udon noodles with vegetables in a soy-teriyaki sauce]. בתאבון 🩷","איך אני אוהבת מוקפץ (on-screen text overlay, 'how I like my stir-fry')","Relatable statement","15.67","15.67","128658","280","44.4%","55.6%","145","7","189","56","399","64.9%","35.1%","331","6","0.05","1.47","0.44","0.05","1.13","3.1","2.57","Food","N/A","Savory","Savory (chicken udon stir-fry)","Static / overhead shot","Overhead/top-down shot of the finished dish","No","No (top-down food shot; no person visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. DATA CONFLICT: front-end action-bar comment count 13 vs Insights תגובות 7."
"63","DLHPk-noggE","https://www.instagram.com/rotem_adini/reel/DLHPk-noggE/","2025-06-20","2025-06-20","עוגת גבינה טריקולד מנומרת 🐆💛 [full ingredients + method: no-bake tricolor cheesecake with dark/milk/white chocolate ganache marbled into a leopard-print pattern, dark-milk chocolate glaze topping]. ובתאבון 🩷","אני חושבת שזאת העוגה (on-screen text overlay, 'I think this is the cake')","Relatable statement","20.3","20.3","318326","296","17.8%","82.2%","1386","41","1452","645","3528","25.7%","74.3%","3058","134","0.42","4.56","2.03","0.13","4.35","11.08","9.61","Food","N/A","Dessert","Dessert (leopard-print tricolor cheesecake)","Hands-only demo","Hands-only demo (holding the plated slice)","Unclear","Unclear (hands only visible in inspected frame)","No","No","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. Highest-reach reel in this entire 30-reel batch (318,326 views). Note: this view count is coincidentally close to the ~314K figure cited in the prior baseline document's Section 7 ('Additional Reel datapoint'), but that baseline entry also cited ~595 follows and ~2,974 shares, neither of which matches this reel (134 follows, 645 shares) -- per task instructions, no assumption is made that this is the same Reel referenced in the baseline; recorded as an independent, freshly-observed data point only (same caveat previously applied to reel DVQPqNZCIIe in this dataset). DATA CONFLICT: front-end action-bar comment count 94 vs Insights תגובות 41 (large gap)."
"64","DLARXZ4o1V6","https://www.instagram.com/rotem_adini/reel/DLARXZ4o1V6/","2025-06-17","2025-06-17","השמועה אומרת שבזמן שיש מתקפה מאיראן הקלוריות לא נספרות כי חייב להתנחם במשהו מתוק… 😝🍫 הכנתי כאן סופלה שוקולד במילוי מטבע שוקולד בלונדי ומעל הכל כמובן כדור גלידה [full ingredients + method: dark chocolate souffle with a frozen blonde chocolate disk center, served with ice cream]. אני הכנתי בתבנית קטנה עגולה קוטר 16","מה איתכם (on-screen text overlay, 'what about you')","Question","17.63","17.63","125224","206","20.9%","79.1%","808","16","702","450","1976","25.6%","74.4%","1612","31","0.25","5.61","3.59","0.13","6.45","15.78","12.87","Food","N/A","Dessert","Dessert (chocolate souffle with blonde chocolate center)","Static / overhead shot","Static plating shot","No","No (product shot; no person visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. Caption references a real-world security event (an attack from Iran) as context for the recipe's framing; transcribed as posted, no further interpretation performed. Only two numbers were visible in the front-end action bar for this reel (808 and 29) rather than the usual three, so no directly comparable front-end comment count could be identified; the recorded comments value (16) is taken from Insights only."
"65","DKKOQ1gIW5L","https://www.instagram.com/rotem_adini/reel/DKKOQ1gIW5L/","2025-05-27","2025-05-27","סלמון עם ניוקי ועגבניות שרי ברוטב ירוק של עשבי תיבול וכל זה בתבנית אחת – הכי חגיגי לשבועות! 🤍 [full ingredients + method: one-pan salmon and gnocchi with cherry tomatoes in a green herb-cashew sauce]. ובתאבון 🩷🩷 פרסום במימון ובשיתוף @finish.israel","N/A (no on-screen text overlay captured in inspected frame)","Other","31.8","31.8","16824","240","56%","44%","120","26","127","56","331","76.5%","23.5%","253","2","0.12","7.55","3.33","1.55","7.13","19.67","15.04","Collaboration","N/A","Other","Other (paid partnership one-pan salmon recipe, tied to easy-cleanup theme for a dishwasher-detergent brand)","Static / overhead shot","Overhead/top-down shot; fork lifting a bite","No","No (top-down food shot; no person visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Collaboration / Sponsored (explicit 'פרסום במימון ובשיתוף' / paid-partnership tag with @finish.israel)","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. Full Insights access available (own-account sponsored post). Recipe was timed for the Shavuot holiday. DATA CONFLICT: front-end action-bar comment count 30 vs Insights תגובות 26."
"66","DIGJkDJIrhD","https://www.instagram.com/rotem_adini/reel/DIGJkDJIrhD/","2025-05-26","2025-05-26","בורקס דפי אורז קריספיייייי כשהטרנד דפי האורז יצא לפני כמה שנים ניסיתי מלא פעמים להכין את הבורקס הזה וכל פעם היה יוצא לי מרקם כזה של גומי עד שהתייאשתי לפני כמה זמן החלטתי להביא לזה עוד ניסיון ועליתי על 2 טריקים שמשאירים את הדף אורז קריספי [full ingredients + method: rice paper bureka with cottage/bulgarian/yellow cheese filling, two crispness tricks]. ערכים לבורקס מתוך 10: 85 קלוריות, 6.4 חלבון, 10.2 פחמימה, 2.3 שומן","בורקס דפי אורז שיוצא פשוט קריספי! (on-screen text overlay)","Problem","22.17","22.17","213509","241","2.4%","97.6%","2553","9","3016","2040","7618","5.1%","94.9%","6548","221","1.04","14.13","9.55","0.04","11.96","35.68","30.67","Food","N/A","Savory","Savory (crispy rice-paper bureka)","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No","No","No","'Waiting to hear how it turned out'","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. High-reach, high-discovery reel (97.6% non-follower views, 221 follows attributed -- among the highest follow counts in this dataset). Front-end action-bar comment count (9) matches Insights תגובות (9), no conflict."
"67","DG-9dGwosJq","https://www.instagram.com/rotem_adini/reel/DG-9dGwosJq/","2025-03-09","2025-03-09","אוזני המן מבצק עוגיות שלא דורשות אפייה 🩷 [full ingredients + method: no-bake edible cookie-dough Hamantaschen with pasteurized flour, white chocolate crumb, Nutella filling]. המתכון לבצק מבוסס על המתכון המקורי של Ben & Jerry's","הכי טוב שעשיתי לאחרונה (on-screen text overlay, 'the best thing I've made recently')","Result-first","19.57","19.57","16405","157","44.4%","55.6%","121","3","92","30","246","62.3%","37.7%","215","8","0.49","5.61","1.83","0.18","7.38","15","13.11","Food","N/A","Dessert","Dessert (no-bake edible-cookie-dough Hamantaschen, Purim-themed)","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. Holiday-themed (Purim). Caption credits the base cookie-dough recipe to Ben & Jerry's. Front-end action-bar comment count (3) matches Insights תגובות (3), no conflict."
"68","DGBD2g1IOrV","https://www.instagram.com/rotem_adini/reel/DGBD2g1IOrV/","2025-02-13","2025-02-13","הארוחה המושלמת לוולנטיין 👩🏾‍❤️‍💋‍👨🏼🩷 תייגו את הפרטנר שחייב להכין איתכם ארוחה כזאת 👇🏻❤️","שהכי מתאימה לוולנטיין (on-screen text overlay, 'that suits Valentine's best')","Result-first","30.23","30.23","18140","315","44%","56%","218","8","47","26","299","57.5%","42.5%","287","7","0.39","2.59","1.43","0.44","12.02","16.48","15.82","Couple","N/A (Valentine's Day themed, not part of a numbered series)","Personal","Personal relationship moment (Valentine's Day meal)","Montage","Montage (hands, food, drinks)","Unclear","Unclear (only hands/food visible in inspected frame)","Yes","Yes (hands visible garnishing a strawberry cocktail; also referenced by name in a viewer comment)","Unclear","Unclear (Meir's hands confirmed; Rotem not confirmed in the inspected frame)","Tag the partner who should make a meal like this with you","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. Front-end action-bar comment count (8) matches Insights תגובות (8), no conflict."
"69","DFe_HOkoxXR","https://www.instagram.com/rotem_adini/reel/DFe_HOkoxXR/","2025-01-31","2025-01-31","קינוחי כוסות אלפחורס שיוצאים וואו! 😍 [full ingredients + method: alfajor cookie squares layered in cups with vanilla-dulce de leche cream, ground coconut]. הקינוח הכי טעים לאחר כמה שעות של התייצבות במקרר בתיאבון ❤️ תייגו אותי אם הכנתם! *אם מכינים מהמתכון רק עוגיות אז יוצאות 70 עוגיות שזה 35 עוגיות אלפחורס","תקשיבו הכנתי כאן קינוח (on-screen text overlay, 'listen, I made a dessert here')","Result-first","17.77","17.77","24282","190","35.3%","64.7%","350","17","377","156","901","47.2%","52.8%","723","13","0.54","15.53","6.42","0.7","14.41","37.11","29.78","Food","N/A","Dessert","Dessert (alfajor cup dessert with dulce de leche)","Static / overhead shot","Static plating shot (pouring dulce de leche)","No","No (product shot; no person visible in inspected frame)","No","No (meir43214 only comments)","No","No","'Tag me if you make it'","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. Front-end action-bar comment count (17) matches Insights תגובות (17), no conflict."
"70","DEovXFYolG6","https://www.instagram.com/rotem_adini/reel/DEovXFYolG6/","2025-01-10","2025-01-10","עוגת קינמון עם קראמבל מושלם 🌟 [full ingredients + method: cinnamon marble cake with a cinnamon-brown sugar crumble topping]. נגיש עם שתייה חמה ובתיאבון! 💗","תקלטו את האווריריות של העוגה הזאת (on-screen text overlay, 'notice how airy this cake is')","Result-first","18.87","18.87","21199","181","38.7%","61.3%","300","11","435","88","836","55.2%","44.8%","681","10","0.47","20.52","4.15","0.52","14.15","39.44","32.12","Food","N/A","Dessert","Dessert (cinnamon crumb cake)","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. This is the oldest of the current 70-newest-Reels set (published 2025-01-10). Front-end action-bar comment count (11) matches Insights תגובות (11), no conflict."
